quarter,real_disp_pers_inc,personal_consumption_exp_excl_food_energy,cpi_US_total,tot_public_debt_as_pct_of_gdp,gross_private_domestic_invest,M2_velocity,median_sls_price_houses_sold_US,nat_rate_of_unemp_long_term,personal_consumption_expenditures
1976Q3,3.2,6,5.518087063,33.64333,328.307,1.717,44400,6.217,1158.806
1976Q4,2.6,6,5.069402535,33.78753,337.65,1.699,45500,6.223,1192.408
1977Q1,0.9,6.2,5.857740586,33.65136,360.313,1.689,46300,6.227,1228.212
1977Q2,3.8,6.5,6.847697757,32.80422,389.703,1.701,48900,6.232,1255.98
1977Q3,5.7,6.6,6.682161534,32.98791,414.134,1.713,48800,6.235,1286.905
1977Q4,7.9,6.5,6.605399196,33.21873,422.299,1.715,51600,6.237,1324.804
1978Q1,3.2,6.4,6.606437041,33.5012,434.799,1.713,53000,6.239,1354.053
1978Q2,4.3,6.6,6.961325967,32.12444,470.584,1.78,55300,6.239,1411.385
1978Q3,3.1,6.6,7.952069717,32.21407,492.368,1.795,56100,6.239,1442.217
1978Q4,2.7,7,8.943965517,31.86206,515.755,1.822,59000,6.238,1481.354
1979Q1,4.9,6.8,9.745762712,31.53601,525.809,1.832,60600,6.235,1517.141
1979Q2,-3.6,7.3,10.74380165,31.06277,539.293,1.835,63100,6.232,1557.635
1979Q3,1.8,7.4,11.75580222,30.98402,545.621,1.846,64700,6.228,1611.867
1979Q4,0.7,7.7,12.66073195,31.02615,547.875,1.857,62600,6.223,1655.035
1980Q1,1.4,8.9,14.28571429,30.94982,554.562,1.869,63700,6.217,1702.302
1980Q2,-3.5,8.9,14.50559701,31.37303,519.294,1.847,64000,6.21,1704.723
1980Q3,4.6,9.3,12.86681716,31.77687,495.071,1.831,64900,6.203,1763.771
1980Q4,5.6,9.7,12.64266901,31.157,551.472,1.874,66400,6.195,1831.874
1981Q1,-0.6,9.4,11.23310811,30.87284,619.381,1.928,66800,6.187,1885.734
1981Q2,0.5,9.1,9.775967413,30.70875,609.843,1.9,69400,6.178,1917.524
1981Q3,8.9,8.7,10.84,30.60333,652.297,1.925,69200,6.169,1958.099
1981Q4,0.4,8,9.547934528,31.35587,643.395,1.888,70400,6.16,1974.447
1982Q1,1,7.2,7.593014427,32.41298,588.318,1.842,66400,6.15,2014.155
1982Q2,2.4,6.6,6.753246753,32.40213,593.621,1.836,69600,6.141,2039.645
1982Q3,1.9,6.3,5.774088777,33.9253,592.954,1.825,69300,6.131,2085.671
1982Q4,1.3,5.9,4.517965137,35.18156,549.242,1.804,71600,6.122,2145.554
1983Q1,3.8,5.8,3.59915314,35.82911,565.52,1.745,73300,6.112,2184.589
1983Q2,2.8,5.2,3.336809176,36.87167,613.783,1.753,74900,6.103,2249.438
1983Q3,6.1,5.1,2.62708973,37.3311,652.269,1.779,77400,6.094,2319.895
1983Q4,9.2,4.5,3.301565691,37.17553,718.496,1.797,75900,6.085,2372.496
1984Q1,8.2,4.2,4.529972752,37.45447,790.872,1.812,78200,6.076,2418.165
1984Q2,6.8,4.6,4.339051463,37.72687,818.894,1.82,80700,6.066,2475.876
1984Q3,5.4,4,4.255319149,38.49586,838.852,1.829,81000,6.057,2513.523
1984Q4,3.3,3.9,4.085667216,40.08547,831.741,1.818,79900,6.048,2561.797
1985Q1,-1,4.3,3.584229391,40.44121,809.865,1.799,82800,6.038,2636.008
1985Q2,8,3.9,3.739522888,41.31983,827.04,1.795,84300,6.029,2681.764
1985Q3,-1.2,4,3.348214286,41.55909,822.157,1.795,83200,6.019,2754.148
1985Q4,4.3,4,3.51377018,43.78715,859.545,1.792,86800,6.008,2779.4
1986Q1,5.4,3.7,3.082730418,44.07415,863.457,1.792,88000,5.997,2823.648
1986Q2,5.2,3.6,1.615910503,45.30682,855.237,1.76,92100,5.986,2851.456
1986Q3,2.6,3.2,1.635297748,46.12536,835.832,1.741,93000,5.973,2917.201
1986Q4,0.6,3.3,1.28440367,47.55286,842.063,1.721,95000,5.961,2952.807
1987Q1,3.7,2.8,2.197131523,47.57835,871.196,1.718,97900,5.947,2983.513
1987Q2,-3.7,3.1,3.76146789,48.04867,874.588,1.734,103400,5.933,3053.33
1987Q3,7.4,3.3,4.189435337,48.1165,876.466,1.751,106000,5.917,3117.358
1987Q4,5.5,3.6,4.498792271,48.55667,946.459,1.776,111500,5.901,3150.916
1988Q1,6,3.9,3.971334727,49.03151,908.569,1.768,110000,5.885,3231.896
1988Q2,4.2,4.2,3.919834954,49.08744,934.525,1.774,110000,5.867,3291.716
1988Q3,3.9,4.4,4.108391608,49.25732,942.009,1.79,115000,5.849,3361.899
1988Q4,3.8,4.5,4.305114129,49.71548,962.748,1.813,113900,5.83,3434.539
1989Q1,4.6,4.7,4.824813326,49.73276,1005.487,1.84,118000,5.811,3490.172
1989Q2,-1.2,4.3,5.218377765,49.8876,1001.047,1.861,118900,5.791,3553.767
1989Q3,2.7,3.9,4.673943465,50.17117,996.46,1.853,120000,5.772,3609.399
1989Q4,3.4,3.7,4.59833795,51.38111,995.809,1.834,124800,5.752,3653.692
1990Q1,3.1,3.8,5.232876712,51.96856,1010.838,1.848,123900,5.732,3737.948
1990Q2,2.8,4,4.582210243,52.7473,1014.72,1.859,126800,5.713,3783.421
1990Q3,-0.1,4.3,5.534759358,53.75313,1000.785,1.856,117000,5.693,3846.7
1990Q4,-3.4,4.2,6.223516949,56.03613,947.453,1.839,121500,5.674,3867.909
1991Q1,1,3.9,5.28508201,57.41652,924.569,1.826,120000,5.656,3873.562
1991Q2,3,3.6,4.845360825,57.74551,926.541,1.833,119900,5.637,3926.932
1991Q3,1.6,3.4,3.876361794,59.06123,947.476,1.85,120000,5.619,3973.269
1991Q4,3.4,3.4,2.991772625,60.68599,978.788,1.861,120000,5.602,4000.032
