quarter,cpi_US_total,tot_public_debt_as_pct_of_gdp,gross_private_domestic_invest,nat_rate_of_unemp_long_term,avg_consumer_price_index,fed_funds_avg_rate,10YT_minus_2YT_avg,gdp,avg_housing_starts,target
1976Q3,5.518087063,33.64333,328.307,6.217,57.3,5.283478261,1.096666667,1886.558,1557,0
1976Q4,5.069402535,33.78753,337.65,6.223,58.13333333,4.87423913,1.466666667,1934.273,1691.333333,0
1977Q1,5.857740586,33.65136,360.313,6.227,59.2,4.660666667,1.326666667,1988.648,1844.333333,0
1977Q2,6.847697757,32.80422,389.703,6.232,60.23333333,5.157472527,1.256666667,2055.909,1918.666667,0
1977Q3,6.682161534,32.98791,414.134,6.235,61.06666667,5.816413043,0.826666667,2118.473,2009,0
1977Q4,6.605399196,33.21873,422.299,6.237,61.96666667,6.511304348,0.453333333,2164.27,2075.333333,0
1978Q1,6.606437041,33.5012,434.799,6.239,63.03333333,6.759555556,0.463333333,2202.76,1829.333333,0
1978Q2,6.961325967,32.12444,470.584,6.239,64.46666667,7.282637363,0.323333333,2331.633,2114,0
1978Q3,7.952069717,32.21407,492.368,6.239,65.96666667,8.094782609,0.013333333,2395.053,2019.333333,0
1978Q4,8.943965517,31.86206,515.755,6.238,67.5,9.577826087,-0.51,2476.949,2039.666667,0
1979Q1,9.745762712,31.53601,525.809,6.235,69.2,10.07322222,-0.683333333,2526.61,1665.666667,0
1979Q2,10.74380165,31.06277,539.293,6.232,71.4,10.18197802,-0.48,2591.247,1845.666667,1
1979Q3,11.75580222,30.98402,545.621,6.228,73.7,10.9401087,-0.45,2667.565,1790,1
1979Q4,12.66073195,31.02615,547.875,6.223,76.03333333,13.58021739,-1.116666667,2723.883,1567.666667,1
1980Q1,14.28571429,30.94982,554.562,6.217,79.03333333,15.06527473,-1.28,2789.842,1246,1
1980Q2,14.50559701,31.37303,519.294,6.21,81.7,12.6689011,0.25,2797.352,1058,1
1980Q3,12.86681716,31.77687,495.071,6.203,83.23333333,9.823152174,0.576666667,2856.483,1392,0
1980Q4,12.64266901,31.157,551.472,6.195,85.56666667,15.85282609,-0.803333333,2985.557,1505,0
1981Q1,11.23310811,30.87284,619.381,6.187,87.93333333,16.59555556,-0.623333333,3124.206,1366.333333,0
1981Q2,9.775967413,30.70875,609.843,6.178,89.76666667,17.78692308,-0.956666667,3162.532,1181.666667,1
1981Q3,10.84,30.60333,652.297,6.169,92.26666667,17.59434783,-1.183333333,3260.609,964,1
1981Q4,9.547934528,31.35587,643.395,6.16,93.76666667,13.58836957,0.183333333,3280.818,873.3333333,1
1982Q1,7.593014427,32.41298,588.318,6.15,94.6,14.20744444,-0.233333333,3274.302,880,1
1982Q2,6.753246753,32.40213,593.621,6.141,95.96666667,14.51417582,-0.22,3331.972,948,1
1982Q3,5.774088777,33.9253,592.954,6.131,97.63333333,11.01271739,0.483333333,3366.322,1118.666667,0
1982Q4,4.517965137,35.18156,549.242,6.122,97.93333333,9.283913043,0.783333333,3402.561,1282.666667,0
1983Q1,3.59915314,35.82911,565.52,6.112,98,8.657555556,1.02,3473.413,1630.333333,0
1983Q2,3.336809176,36.87167,613.783,6.103,99.13333333,8.802747253,0.796666667,3578.848,1660.333333,0
1983Q3,2.62708973,37.3311,652.269,6.094,100.1,9.458152174,0.776666667,3689.179,1801.666667,0
1983Q4,3.301565691,37.17553,718.496,6.085,101.1,9.430108696,0.996666667,3794.706,1729.333333,0
1984Q1,4.529972752,37.45447,790.872,6.076,102.5333333,9.688571429,1.03,3908.054,1940,0
1984Q2,4.339051463,37.72687,818.894,6.066,103.5,10.55472527,0.843333333,4009.601,1822.666667,0
1984Q3,4.255319149,38.49586,838.852,6.057,104.4,11.39228261,0.363333333,4084.25,1672,0
1984Q4,4.085667216,40.08547,831.741,6.048,105.3,9.2625,0.933333333,4148.551,1630.333333,0
1985Q1,3.584229391,40.44121,809.865,6.038,106.2666667,8.475111111,1.313333333,4230.168,1714.333333,0
1985Q2,3.739522888,41.31983,827.04,6.029,107.2333333,7.924395604,1.423333333,4294.887,1725.666667,0
1985Q3,3.348214286,41.55909,822.157,6.019,107.9,7.900978261,1.44,4386.773,1701,0
1985Q4,3.51377018,43.78715,859.545,6.008,109,8.104456522,1.23,4444.094,1824.666667,0
1986Q1,3.082730418,44.07415,863.457,5.997,109.5666667,7.826888889,0.783333333,4507.894,1898.666667,0
1986Q2,1.615910503,45.30682,855.237,5.986,109.0333333,6.918461538,0.62,4545.34,1878,0
1986Q3,1.635297748,46.12536,835.832,5.973,109.7,6.209456522,0.856666667,4607.669,1758.666667,0
1986Q4,1.28440367,47.55286,842.063,5.961,110.4666667,6.26673913,0.986666667,4657.627,1712.333333,0
1987Q1,2.197131523,47.57835,871.196,5.947,111.8,6.222555556,0.843333333,4722.156,1761.333333,0
1987Q2,3.76146789,48.04867,874.588,5.933,113.0666667,6.65,0.893333333,4806.16,1612,0
1987Q3,4.189435337,48.1165,876.466,5.917,114.2666667,6.839565217,1.033333333,4884.555,1625,0
1987Q4,4.498792271,48.55667,946.459,5.901,115.3333333,6.919673913,1.14,5007.994,1523.666667,0
1988Q1,3.971334727,49.03151,908.569,5.885,116.2333333,6.665934066,1.056666667,5073.372,1425.333333,0
1988Q2,3.919834954,49.08744,934.525,5.867,117.5666667,7.154945055,1.036666667,5190.036,1490.666667,0
1988Q3,4.108391608,49.25732,942.009,5.849,119,7.983478261,0.643333333,5282.835,1484,0
1988Q4,4.305114129,49.71548,962.748,5.83,120.3,8.468478261,0.253333333,5399.509,1551.333333,0
1989Q1,4.824813326,49.73276,1005.487,5.811,121.6666667,9.446444444,-0.203333333,5511.253,1489.333333,0
1989Q2,5.218377765,49.8876,1001.047,5.791,123.6333333,9.725714286,-0.186666667,5612.463,1355.666667,0
1989Q3,4.673943465,50.17117,996.46,5.772,124.6,9.083586957,0.026666667,5695.365,1346,0
1989Q4,4.59833795,51.38111,995.809,5.752,125.8666667,8.614456522,0.053333333,5747.237,1337.333333,1
1990Q1,5.232876712,51.96856,1010.838,5.732,128.0333333,8.248,0.06,5872.701,1425.666667,1
