quarter,avg_consumer_price_index,gdp,gdp_pct_change,avg_housing_starts,output_gap,recession_actual,avg_unemployment_rate,fed_funds_avg_rate,fed_funds_percent_change_prev_quarter,fed_funds_st_dev_rate,10YT_minus_2YT_avg,10YT_minus_2YT_percent_change_prev_quarter,real_disp_pers_inc,personal_consumption_exp_excl_food_energy,tot_public_debt_as_pct_of_gdp,gross_private_domestic_invest,M2_velocity,median_sls_price_houses_sold_US,personal_consumption_expenditures
1942Q1,,,,,,0.0,,,,,,,,,,,,,
1942Q2,,,,,,0.0,,,,,,,,,,,,,
1942Q3,,,,,,0.0,,,,,,,,,,,,,
1942Q4,,,,,,0.0,,,,,,,,,,,,,
1943Q1,,,,,,0.0,,,,,,,,,,,,,
1943Q2,,,,,,0.0,,,,,,,,,,,,,
1943Q3,,,,,,0.0,,,,,,,,,,,,,
1943Q4,,,,,,0.0,,,,,,,,,,,,,
1944Q1,,,,,,0.0,,,,,,,,,,,,,
1944Q2,,,,,,0.0,,,,,,,,,,,,,
1944Q3,,,,,,0.0,,,,,,,,,,,,,
1944Q4,,,,,,0.0,,,,,,,,,,,,,
1945Q1,,,,,,1.0,,,,,,,,,,,,,
1945Q2,,,,,,1.0,,,,,,,,,,,,,
1945Q3,,,,,,1.0,,,,,,,,,,,,,
1945Q4,,,,,,1.0,,,,,,,,,,,,,
1946Q1,,,,,,0.0,,,,,,,,,,,,,
1946Q2,,,,,,0.0,,,,,,,,,,,,,
1946Q3,,,,,,0.0,,,,,,,,,,,,,
1946Q4,,,,,,0.0,,,,,,,,,,,,,
1947Q1,21.7,243.164,,,,0.0,,,,,,,,,,,,,
1947Q2,22.01,245.968,4.7,,,0.0,,,,,,,,,,,,,
1947Q3,22.49,249.585,6.0,,,0.0,,,,,,,,,,,,,
1947Q4,23.126666666666665,259.745,17.3,,,0.0,,,,,,,,,,,,,
1948Q1,23.616666666666664,265.742,9.6,,,0.0,4.4,,,,,,,,,,,,
1948Q2,23.99333333333333,272.567,10.7,,,0.0,3.766666666666667,,,,,,,,,,,,
1948Q3,24.396666666666665,279.196,10.1,,,0.0,3.633333333333333,,,,,,,,,,,,
1948Q4,24.17333333333333,280.366,1.7,,,1.0,3.266666666666666,,,,,,,,,,,,
1949Q1,23.94333333333333,275.034,-7.4,,-0.06350562437704685,1.0,5.466666666666666,,,,,,,,,,,,
1949Q2,23.91666666666667,271.351,-5.2,,-1.6553404883535645,1.0,5.833333333333332,,,,,,,,,,,,
1949Q3,23.71666666666667,272.889,2.3,,-1.8952336881073577,1.0,6.400000000000001,,,,,,,,,,,,
1949Q4,23.66,270.627,-3.3,,-3.954175804093567,1.0,5.933333333333334,,,,,,,,,,,,
1950Q1,23.58666666666667,280.828,16.0,,-1.4536105723693111,0.0,7.533333333333334,,,,,,,,,,,,
1950Q2,23.766666666666666,290.383,14.3,,0.24072837362539515,0.0,5.633333333333333,,,,,,,,,,,,
1950Q3,24.20333333333333,308.153,26.8,,2.751175359198559,0.0,4.466666666666666,,,,,,,,,,,,
1950Q4,24.69333333333333,319.945,16.2,,3.3338102670829,0.0,3.6666666666666665,,,,,,,,,,,,
1951Q1,25.696666666666665,336.0,21.6,,3.312804721580703,0.0,4.133333333333334,,,,,,,,,,,,
1951Q2,25.94666666666667,344.09,10.0,,3.6183750052704817,0.0,3.1666666666666665,,,,,,,,,,,,
1951Q3,25.93333333333333,351.385,8.8,,4.250633858431357,0.0,3.0666666666666664,,,,,,,,,,,,
1951Q4,26.316666666666666,356.17800000000005,5.6,,3.0074171208457976,0.0,2.966666666666667,,,,,,,,,,,,
1952Q1,26.41666666666667,359.82,4.2,,2.656780345886536,0.0,3.6,,,,,,,,,,,,
1952Q2,26.486666666666668,361.03,1.4,,1.4593926835100024,0.0,3.0333333333333337,,,,,,,,,,,,
1952Q3,26.66666666666667,367.701,7.6,,0.8375997797963117,0.0,3.0333333333333337,,,,,,,,,,,,
1952Q4,26.69666666666667,380.812,15.0,,2.8510795278036656,0.0,2.466666666666667,,,,,,,,,,,,
1953Q1,26.62,387.98,7.7,,3.588350483796652,0.0,3.1666666666666665,,,,,,,,,,,,
1953Q2,26.72,391.749,3.9,,3.3611755313082163,0.0,2.6666666666666665,,,,,,,,,,,,
1953Q3,26.84333333333333,391.171,-0.6,,1.8617558402411447,1.0,2.5666666666666664,,,,,,,,,,,,
1953Q4,26.89,385.97,-5.2,,-0.49028255344595595,1.0,3.3000000000000003,,,,,,,,,,,,
1954Q1,26.95333333333333,385.345,-0.6,,-1.6715526198604718,1.0,6.133333333333333,,,,,,,,,,,,
1954Q2,26.91,386.121,0.8,,-2.203104261908273,1.0,5.833333333333332,,,,,,,,,,,,
1954Q3,26.84,390.996,5.1,,-1.6966176847814138,0.0,5.466666666666668,,,,,,,,,,,,
1954Q4,26.756666666666664,399.734,9.2,,-0.3609836065573769,0.0,4.766666666666667,0.9883695652173908,-0.038998097653772566,0.436573262544833,,,,,,,,,
