quarter,real_disp_pers_inc,personal_consumption_exp_excl_food_energy,tot_public_debt_as_pct_of_gdp,gross_private_domestic_invest,M2_velocity,median_sls_price_houses_sold_US,personal_consumption_expenditures
1976Q3,3.2,6,33.64333,328.307,1.717,44400,1158.806
1976Q4,2.6,6,33.78753,337.65,1.699,45500,1192.408
1977Q1,0.9,6.2,33.65136,360.313,1.689,46300,1228.212
1977Q2,3.8,6.5,32.80422,389.703,1.701,48900,1255.98
1977Q3,5.7,6.6,32.98791,414.134,1.713,48800,1286.905
1977Q4,7.9,6.5,33.21873,422.299,1.715,51600,1324.804
1978Q1,3.2,6.4,33.5012,434.799,1.713,53000,1354.053
1978Q2,4.3,6.6,32.12444,470.584,1.78,55300,1411.385
1978Q3,3.1,6.6,32.21407,492.368,1.795,56100,1442.217
1978Q4,2.7,7,31.86206,515.755,1.822,59000,1481.354
1979Q1,4.9,6.8,31.53601,525.809,1.832,60600,1517.141
1979Q2,-3.6,7.3,31.06277,539.293,1.835,63100,1557.635
1979Q3,1.8,7.4,30.98402,545.621,1.846,64700,1611.867
1979Q4,0.7,7.7,31.02615,547.875,1.857,62600,1655.035
1980Q1,1.4,8.9,30.94982,554.562,1.869,63700,1702.302
1980Q2,-3.5,8.9,31.37303,519.294,1.847,64000,1704.723
1980Q3,4.6,9.3,31.77687,495.071,1.831,64900,1763.771
1980Q4,5.6,9.7,31.157,551.472,1.874,66400,1831.874
1981Q1,-0.6,9.4,30.87284,619.381,1.928,66800,1885.734
1981Q2,0.5,9.1,30.70875,609.843,1.9,69400,1917.524
1981Q3,8.9,8.7,30.60333,652.297,1.925,69200,1958.099
1981Q4,0.4,8,31.35587,643.395,1.888,70400,1974.447
1982Q1,1,7.2,32.41298,588.318,1.842,66400,2014.155
1982Q2,2.4,6.6,32.40213,593.621,1.836,69600,2039.645
1982Q3,1.9,6.3,33.9253,592.954,1.825,69300,2085.671
1982Q4,1.3,5.9,35.18156,549.242,1.804,71600,2145.554
1983Q1,3.8,5.8,35.82911,565.52,1.745,73300,2184.589
1983Q2,2.8,5.2,36.87167,613.783,1.753,74900,2249.438
1983Q3,6.1,5.1,37.3311,652.269,1.779,77400,2319.895
1983Q4,9.2,4.5,37.17553,718.496,1.797,75900,2372.496
1984Q1,8.2,4.2,37.45447,790.872,1.812,78200,2418.165
1984Q2,6.8,4.6,37.72687,818.894,1.82,80700,2475.876
1984Q3,5.4,4,38.49586,838.852,1.829,81000,2513.523
1984Q4,3.3,3.9,40.08547,831.741,1.818,79900,2561.797
1985Q1,-1,4.3,40.44121,809.865,1.799,82800,2636.008
1985Q2,8,3.9,41.31983,827.04,1.795,84300,2681.764
1985Q3,-1.2,4,41.55909,822.157,1.795,83200,2754.148
1985Q4,4.3,4,43.78715,859.545,1.792,86800,2779.4
1986Q1,5.4,3.7,44.07415,863.457,1.792,88000,2823.648
1986Q2,5.2,3.6,45.30682,855.237,1.76,92100,2851.456
1986Q3,2.6,3.2,46.12536,835.832,1.741,93000,2917.201
1986Q4,0.6,3.3,47.55286,842.063,1.721,95000,2952.807
1987Q1,3.7,2.8,47.57835,871.196,1.718,97900,2983.513
1987Q2,-3.7,3.1,48.04867,874.588,1.734,103400,3053.33
1987Q3,7.4,3.3,48.1165,876.466,1.751,106000,3117.358
1987Q4,5.5,3.6,48.55667,946.459,1.776,111500,3150.916
1988Q1,6,3.9,49.03151,908.569,1.768,110000,3231.896
1988Q2,4.2,4.2,49.08744,934.525,1.774,110000,3291.716
1988Q3,3.9,4.4,49.25732,942.009,1.79,115000,3361.899
1988Q4,3.8,4.5,49.71548,962.748,1.813,113900,3434.539
1989Q1,4.6,4.7,49.73276,1005.487,1.84,118000,3490.172
1989Q2,-1.2,4.3,49.8876,1001.047,1.861,118900,3553.767
1989Q3,2.7,3.9,50.17117,996.46,1.853,120000,3609.399
1989Q4,3.4,3.7,51.38111,995.809,1.834,124800,3653.692
1990Q1,3.1,3.8,51.96856,1010.838,1.848,123900,3737.948
1990Q2,2.8,4,52.7473,1014.72,1.859,126800,3783.421
1990Q3,-0.1,4.3,53.75313,1000.785,1.856,117000,3846.7
1990Q4,-3.4,4.2,56.03613,947.453,1.839,121500,3867.909
1991Q1,1,3.9,57.41652,924.569,1.826,120000,3873.562
1991Q2,3,3.6,57.74551,926.541,1.833,119900,3926.932
1991Q3,1.6,3.4,59.06123,947.476,1.85,120000,3973.269
1991Q4,3.4,3.4,60.68599,978.788,1.861,120000,4000.032
1992Q1,8.3,3.3,60.99679,956.817,1.874,119500,4100.401
1992Q2,4,3.2,61.57938,1013.084,1.905,120000,4155.66
1992Q3,1.9,2.9,61.89802,1024.162,1.931,120000,4226.971
1992Q4,1.8,2.8,62.52256,1057.962,1.951,126000,4307.205
1993Q1,1.5,2.7,62.86657,1083.829,1.971,125000,4349.515
1993Q2,1.2,2.8,63.91524,1094.479,1.985,127000,4418.581
1993Q3,0.3,2.8,64.10093,1095.852,1.997,127000,4487.189
1993Q4,2.8,2.5,64.66861,1153.142,2.023,127000,4552.651
1994Q1,2.7,2.3,64.30709,1201.675,2.047,130000,4621.223
1994Q2,4.1,2.2,64.10716,1264.948,2.08,130000,4683.163
1994Q3,2.4,2.2,64.01176,1251.749,2.103,129700,4752.761
1994Q4,5.9,2.2,64.38584,1307.566,2.139,132000,4826.713
1995Q1,3.5,2.3,64.66271,1327.586,2.155,130000,4862.436
1995Q2,1.1,2.2,65.31294,1303.988,2.151,133900,4933.609
1995Q3,3.7,2.1,64.73906,1303.248,2.142,132000,4998.662
1995Q4,2.4,2.1,64.18282,1335.135,2.147,138000,5055.655
1996Q1,3.8,2,65.04171,1355.353,2.147,137000,5130.615
1996Q2,3.7,1.9,64.2497,1418.388,2.165,139900,5220.499
1996Q3,3.3,1.8,64.25469,1474.35,2.171,140000,5274.505
