date,gdp_pct_change,quarter
1947-04-01,4.7,1947Q2
1947-07-01,6.0,1947Q3
1947-10-01,17.3,1947Q4
1948-01-01,9.6,1948Q1
1948-04-01,10.7,1948Q2
1948-07-01,10.1,1948Q3
1948-10-01,1.7,1948Q4
1949-01-01,-7.4,1949Q1
1949-04-01,-5.2,1949Q2
1949-07-01,2.3,1949Q3
1949-10-01,-3.3,1949Q4
1950-01-01,16.0,1950Q1
1950-04-01,14.3,1950Q2
1950-07-01,26.8,1950Q3
1950-10-01,16.2,1950Q4
1951-01-01,21.6,1951Q1
1951-04-01,10.0,1951Q2
1951-07-01,8.8,1951Q3
1951-10-01,5.6,1951Q4
1952-01-01,4.2,1952Q1
1952-04-01,1.4,1952Q2
1952-07-01,7.6,1952Q3
1952-10-01,15.0,1952Q4
1953-01-01,7.7,1953Q1
1953-04-01,3.9,1953Q2
1953-07-01,-0.6,1953Q3
1953-10-01,-5.2,1953Q4
1954-01-01,-0.6,1954Q1
1954-04-01,0.8,1954Q2
1954-07-01,5.1,1954Q3
1954-10-01,9.2,1954Q4
1955-01-01,14.0,1955Q1
1955-04-01,8.4,1955Q2
1955-07-01,8.5,1955Q3
1955-10-01,6.5,1955Q4
1956-01-01,2.5,1956Q1
1956-04-01,5.8,1956Q2
1956-07-01,4.7,1956Q3
1956-10-01,8.5,1956Q4
1957-01-01,8.3,1957Q1
1957-04-01,1.9,1957Q2
1957-07-01,6.5,1957Q3
1957-10-01,-3.8,1957Q4
1958-01-01,-6.0,1958Q1
1958-04-01,3.9,1958Q2
1958-07-01,12.3,1958Q3
1958-10-01,11.8,1958Q4
1959-01-01,8.9,1959Q1
1959-04-01,10.0,1959Q2
1959-07-01,1.8,1959Q3
1959-10-01,2.7,1959Q4
1960-01-01,11.1,1960Q1
1960-04-01,-1.2,1960Q2
1960-07-01,3.4,1960Q3
1960-10-01,-3.9,1960Q4
1961-01-01,3.6,1961Q1
1961-04-01,8.0,1961Q2
1961-07-01,9.0,1961Q3
1961-10-01,9.4,1961Q4
1962-01-01,9.6,1962Q1
1962-04-01,4.3,1962Q2
1962-07-01,5.9,1962Q3
1962-10-01,2.2,1962Q4
1963-01-01,6.3,1963Q1
1963-04-01,5.3,1963Q2
1963-07-01,9.7,1963Q3
1963-10-01,6.0,1963Q4
1964-01-01,10.1,1964Q1
1964-04-01,5.4,1964Q2
1964-07-01,8.1,1964Q3
1964-10-01,3.1,1964Q4
1965-01-01,12.3,1965Q1
1965-04-01,7.1,1965Q2
1965-07-01,10.9,1965Q3
1965-10-01,12.6,1965Q4
1966-01-01,13.0,1966Q1
1966-04-01,4.7,1966Q2
1966-07-01,7.5,1966Q3
