date,target,quarter
1942-01-01,0,1942Q1
1942-04-01,0,1942Q2
1942-07-01,0,1942Q3
1942-10-01,0,1942Q4
1943-01-01,0,1943Q1
1943-04-01,0,1943Q2
1943-07-01,0,1943Q3
1943-10-01,0,1943Q4
1944-01-01,0,1944Q1
1944-04-01,0,1944Q2
1944-07-01,0,1944Q3
1944-10-01,0,1944Q4
1945-01-01,1,1945Q1
1945-04-01,1,1945Q2
1945-07-01,1,1945Q3
1945-10-01,1,1945Q4
1946-01-01,0,1946Q1
1946-04-01,0,1946Q2
1946-07-01,0,1946Q3
1946-10-01,0,1946Q4
1947-01-01,0,1947Q1
1947-04-01,0,1947Q2
1947-07-01,0,1947Q3
1947-10-01,0,1947Q4
1948-01-01,0,1948Q1
1948-04-01,0,1948Q2
1948-07-01,0,1948Q3
1948-10-01,1,1948Q4
1949-01-01,1,1949Q1
1949-04-01,1,1949Q2
1949-07-01,1,1949Q3
1949-10-01,1,1949Q4
1950-01-01,0,1950Q1
1950-04-01,0,1950Q2
1950-07-01,0,1950Q3
1950-10-01,0,1950Q4
1951-01-01,0,1951Q1
1951-04-01,0,1951Q2
1951-07-01,0,1951Q3
1951-10-01,0,1951Q4
1952-01-01,0,1952Q1
1952-04-01,0,1952Q2
1952-07-01,0,1952Q3
1952-10-01,0,1952Q4
1953-01-01,0,1953Q1
1953-04-01,0,1953Q2
1953-07-01,1,1953Q3
1953-10-01,1,1953Q4
1954-01-01,1,1954Q1
1954-04-01,1,1954Q2
1954-07-01,0,1954Q3
1954-10-01,0,1954Q4
1955-01-01,0,1955Q1
1955-04-01,0,1955Q2
1955-07-01,0,1955Q3
1955-10-01,0,1955Q4
1956-01-01,0,1956Q1
1956-04-01,0,1956Q2
1956-07-01,0,1956Q3
1956-10-01,0,1956Q4
1957-01-01,0,1957Q1
1957-04-01,0,1957Q2
1957-07-01,1,1957Q3
1957-10-01,1,1957Q4
1958-01-01,1,1958Q1
1958-04-01,1,1958Q2
1958-07-01,0,1958Q3
1958-10-01,0,1958Q4
1959-01-01,0,1959Q1
1959-04-01,0,1959Q2
1959-07-01,0,1959Q3
1959-10-01,0,1959Q4
1960-01-01,0,1960Q1
1960-04-01,1,1960Q2
1960-07-01,1,1960Q3
1960-10-01,1,1960Q4
1961-01-01,1,1961Q1
1961-04-01,0,1961Q2
1961-07-01,0,1961Q3
1961-10-01,0,1961Q4
1962-01-01,0,1962Q1
1962-04-01,0,1962Q2
1962-07-01,0,1962Q3
1962-10-01,0,1962Q4
1963-01-01,0,1963Q1
1963-04-01,0,1963Q2
1963-07-01,0,1963Q3
1963-10-01,0,1963Q4
1964-01-01,0,1964Q1
1964-04-01,0,1964Q2
1964-07-01,0,1964Q3
1964-10-01,0,1964Q4
1965-01-01,0,1965Q1
1965-04-01,0,1965Q2
1965-07-01,0,1965Q3
1965-10-01,0,1965Q4
1966-01-01,0,1966Q1
1966-04-01,0,1966Q2
1966-07-01,0,1966Q3
1966-10-01,0,1966Q4
1967-01-01,0,1967Q1
1967-04-01,0,1967Q2
1967-07-01,0,1967Q3
1967-10-01,0,1967Q4
1968-01-01,0,1968Q1
1968-04-01,0,1968Q2
1968-07-01,0,1968Q3
1968-10-01,0,1968Q4
1969-01-01,0,1969Q1
1969-04-01,1,1969Q2
1969-07-01,1,1969Q3
1969-10-01,1,1969Q4
1970-01-01,1,1970Q1
1970-04-01,1,1970Q2
1970-07-01,1,1970Q3
1970-10-01,1,1970Q4
1971-01-01,0,1971Q1
1971-04-01,0,1971Q2
1971-07-01,0,1971Q3
1971-10-01,0,1971Q4
1972-01-01,0,1972Q1
1972-04-01,0,1972Q2
1972-07-01,0,1972Q3
1972-10-01,0,1972Q4
1973-01-01,0,1973Q1
1973-04-01,0,1973Q2
1973-07-01,0,1973Q3
1973-10-01,1,1973Q4
1974-01-01,1,1974Q1
1974-04-01,1,1974Q2
1974-07-01,1,1974Q3
1974-10-01,1,1974Q4
1975-01-01,1,1975Q1
1975-04-01,0,1975Q2
1975-07-01,0,1975Q3
1975-10-01,0,1975Q4
1976-01-01,0,1976Q1
1976-04-01,0,1976Q2
1976-07-01,0,1976Q3
1976-10-01,0,1976Q4
1977-01-01,0,1977Q1
1977-04-01,0,1977Q2
1977-07-01,0,1977Q3
1977-10-01,0,1977Q4
1978-01-01,0,1978Q1
1978-04-01,0,1978Q2
1978-07-01,0,1978Q3
1978-10-01,0,1978Q4
1979-01-01,0,1979Q1
1979-04-01,1,1979Q2
1979-07-01,1,1979Q3
1979-10-01,1,1979Q4
1980-01-01,1,1980Q1
1980-04-01,1,1980Q2
1980-07-01,0,1980Q3
1980-10-01,0,1980Q4
1981-01-01,0,1981Q1
1981-04-01,1,1981Q2
1981-07-01,1,1981Q3
1981-10-01,1,1981Q4
1982-01-01,1,1982Q1
1982-04-01,1,1982Q2
1982-07-01,0,1982Q3
1982-10-01,0,1982Q4
1983-01-01,0,1983Q1
1983-04-01,0,1983Q2
1983-07-01,0,1983Q3
1983-10-01,0,1983Q4
1984-01-01,0,1984Q1
1984-04-01,0,1984Q2
1984-07-01,0,1984Q3
1984-10-01,0,1984Q4
1985-01-01,0,1985Q1
1985-04-01,0,1985Q2
1985-07-01,0,1985Q3
1985-10-01,0,1985Q4
1986-01-01,0,1986Q1
1986-04-01,0,1986Q2
1986-07-01,0,1986Q3
1986-10-01,0,1986Q4
1987-01-01,0,1987Q1
1987-04-01,0,1987Q2
1987-07-01,0,1987Q3
1987-10-01,0,1987Q4
1988-01-01,0,1988Q1
1988-04-01,0,1988Q2
1988-07-01,0,1988Q3
1988-10-01,0,1988Q4
1989-01-01,0,1989Q1
1989-04-01,0,1989Q2
1989-07-01,0,1989Q3
1989-10-01,1,1989Q4
1990-01-01,1,1990Q1
1990-04-01,1,1990Q2
1990-07-01,1,1990Q3
1990-10-01,1,1990Q4
1991-01-01,1,1991Q1
