date,gdp,quarter
1947-01-01,243.16400000000002,1947Q1
1947-04-01,245.968,1947Q2
1947-07-01,249.585,1947Q3
1947-10-01,259.745,1947Q4
1948-01-01,265.742,1948Q1
1948-04-01,272.567,1948Q2
1948-07-01,279.19599999999997,1948Q3
1948-10-01,280.366,1948Q4
1949-01-01,275.034,1949Q1
1949-04-01,271.351,1949Q2
1949-07-01,272.889,1949Q3
1949-10-01,270.627,1949Q4
1950-01-01,280.828,1950Q1
1950-04-01,290.383,1950Q2
1950-07-01,308.153,1950Q3
1950-10-01,319.945,1950Q4
1951-01-01,336.0,1951Q1
1951-04-01,344.09,1951Q2
1951-07-01,351.385,1951Q3
1951-10-01,356.17800000000005,1951Q4
1952-01-01,359.82,1952Q1
1952-04-01,361.03,1952Q2
1952-07-01,367.70099999999996,1952Q3
1952-10-01,380.81199999999995,1952Q4
1953-01-01,387.98,1953Q1
1953-04-01,391.749,1953Q2
1953-07-01,391.171,1953Q3
1953-10-01,385.97,1953Q4
1954-01-01,385.345,1954Q1
1954-04-01,386.121,1954Q2
1954-07-01,390.996,1954Q3
1954-10-01,399.73400000000004,1954Q4
1955-01-01,413.07300000000004,1955Q1
1955-04-01,421.532,1955Q2
1955-07-01,430.221,1955Q3
1955-10-01,437.092,1955Q4
1956-01-01,439.746,1956Q1
1956-04-01,446.01,1956Q2
1956-07-01,451.191,1956Q3
1956-10-01,460.463,1956Q4
1957-01-01,469.779,1957Q1
1957-04-01,472.025,1957Q2
1957-07-01,479.49,1957Q3
1957-10-01,474.86400000000003,1957Q4
1958-01-01,467.54,1958Q1
1958-04-01,471.978,1958Q2
1958-07-01,485.841,1958Q3
1958-10-01,499.555,1958Q4
1959-01-01,510.33,1959Q1
1959-04-01,522.653,1959Q2
1959-07-01,525.034,1959Q3
1959-10-01,528.6,1959Q4
1960-01-01,542.648,1960Q1
1960-04-01,541.08,1960Q2
1960-07-01,545.604,1960Q3
1960-10-01,540.197,1960Q4
1961-01-01,545.018,1961Q1
1961-04-01,555.545,1961Q2
1961-07-01,567.664,1961Q3
1961-10-01,580.612,1961Q4
1962-01-01,594.013,1962Q1
1962-04-01,600.366,1962Q2
1962-07-01,609.0269999999999,1962Q3
1962-10-01,612.28,1962Q4
